Date,Gold,Silver,Oil,EURUSD,JPYUSD,DXY,UST10Y,Bund10Y
2022-06-30,1804.0999755859375,20.281999588012695,105.76000213623047,1.04465913772583,0.00732123339548707,104.69000244140625,2.9719998836517334,128.61500549316406
2022-07-01,1798.9000244140625,19.597000122070312,108.43000030517578,1.0477677583694458,0.007364529650658369,105.13999938964844,2.8889999389648438,130.0050048828125
2022-07-04,1798.9000244140625,19.597000122070312,108.43000030517578,1.0433948040008545,0.007405048701912165,105.13999938964844,2.8889999389648438,128.91000366210938
2022-07-05,1761.800048828125,19.052000045776367,99.5,1.0433186292648315,0.007361602038145065,106.5,2.809000015258789,130.3699951171875
2022-07-06,1734.9000244140625,19.084999084472656,98.52999877929688,1.0257673263549805,0.007378930225968361,107.0999984741211,2.9130001068115234,130.55999755859375
2022-07-07,1737.9000244140625,19.121999740600586,102.7300033569336,1.0186411142349243,0.00735477963462472,107.12999725341797,3.007999897003174,129.80499267578125
2022-07-08,1740.5999755859375,19.16699981689453,104.79000091552734,1.0169836282730103,0.007357648108154535,107.01000213623047,3.1010000705718994,129.36000061035156
2022-07-11,1730.0,19.066999435424805,104.08999633789062,1.0166114568710327,0.007336703594774008,108.0199966430664,2.990999937057495,130.27499389648438
2022-07-12,1723.300048828125,18.89900016784668,95.83999633789062,1.004752516746521,0.007278656121343374,108.06999969482422,2.9579999446868896,131.42999267578125
2022-07-13,1734.199951171875,19.13800048828125,96.30000305175781,1.0033109188079834,0.007313897833228111,107.95999908447266,2.9040000438690186,131.39999389648438
2022-07-14,1704.5,18.16900062561035,95.77999877929688,1.0032706260681152,0.00726596312597394,108.54000091552734,2.9600000381469727,131.10000610351562
2022-07-15,1702.4000244140625,18.54800033569336,97.58999633789062,1.0025665760040283,0.007195953279733658,108.05999755859375,2.930000066757202,131.49000549316406
2022-07-18,1709.199951171875,18.791000366210938,102.5999984741211,1.009631872177124,0.007229926530271769,107.37000274658203,2.9600000381469727,130.66000366210938
2022-07-19,1710.0,18.670000076293945,104.22000122070312,1.0145177841186523,0.007234371732920408,106.68000030517578,3.0190000534057617,130.02000427246094
2022-07-20,1699.5,18.638999938964844,102.26000213623047,1.0231330394744873,0.007236361503601074,107.08000183105469,3.0360000133514404,130.2050018310547
2022-07-21,1712.699951171875,18.687000274658203,96.3499984741211,1.0182781219482422,0.0072256941348314285,106.91000366210938,2.9100000858306885,130.52000427246094
2022-07-22,1727.0999755859375,18.584999084472656,94.69999694824219,1.0221081972122192,0.007294051814824343,106.7300033569336,2.7829999923706055,132.2550048828125
2022-07-25,1719.0,18.29400062561035,96.69999694824219,1.0200231075286865,0.007336111273616552,106.4800033569336,2.819999933242798,132.25999450683594
2022-07-26,1717.699951171875,18.48699951171875,94.9800033569336,1.022494912147522,0.007329712621867657,107.19000244140625,2.7869999408721924,133.19000244140625
2022-07-27,1719.0999755859375,18.55299949645996,97.26000213623047,1.0129557847976685,0.007300868630409241,106.44999694824219,2.7339999675750732,133.02999877929688
2022-07-28,1750.300048828125,19.82699966430664,96.41999816894531,1.0209290981292725,0.007346945349127054,106.3499984741211,2.680999994277954,134.4499969482422
2022-07-29,1762.9000244140625,20.1560001373291,98.62000274658203,1.0192328691482544,0.007440641988068819,105.9000015258789,2.6419999599456787,134.49000549316406
2022-08-01,1769.0,20.32200050354004,93.88999938964844,1.0208247900009155,0.007495858706533909,105.44999694824219,2.6059999465942383,135.03500366210938
2022-08-02,1771.0999755859375,20.104999542236328,94.41999816894531,1.0261356830596924,0.007600401062518358,106.23999786376953,2.740999937057495,135.13499450683594
2022-08-03,1758.0,19.864999771118164,90.66000366210938,1.015568733215332,0.007497432176023722,106.51000213623047,2.747999906539917,134.1750030517578
2022-08-04,1788.5,20.099000930786133,88.54000091552734,1.015764594078064,0.007464803289622068,105.69000244140625,2.6760001182556152,134.64999389648438
2022-08-05,1772.9000244140625,19.819000244140625,89.01000213623047,1.024779200553894,0.007540283724665642,106.62000274658203,2.8399999141693115,133.1649932861328
